,TWI_raster
1574,-11.48179
1575,-11.023672
1576,-10.5599575
1577,-10.742156
1578,-10.941931
1579,-10.07621
1580,-9.646723
1581,-9.560526
1582,-8.557465
1583,-10.396979
1584,-12.0883
1585,-12.725891
1586,-12.745143
1587,-11.712504
1588,-11.161715
1589,-10.507868
1590,-10.757299
1591,-9.554101
1592,-11.875152
1593,-12.832038
1594,-12.264696
1595,-15.398301
1596,-14.425028
1597,-14.671906
1598,-13.255497
1599,-11.673525
1600,-12.07948
1601,-12.477772
1602,-13.260795
1603,-14.561678
1604,-13.050105
1605,-13.716642
1606,-16.40478
1607,-15.109348
1608,-14.328868
1609,-12.310019
1610,-9.273511
1611,-11.997887
1612,-13.855774
1613,-16.552721
1614,-13.887713
1615,-14.382839
1616,-16.951399
1617,-14.288376
1618,-10.006897
1619,-8.740722
1620,-10.607146
1621,-13.5499325
1622,-16.46115
1623,-10.8530245
1624,-9.94923
1625,-14.724656
1626,-16.122204
1627,-15.0637245
1628,-13.825803
1629,-12.510512
1630,-15.757542
1631,-13.272936
1632,-13.206082
1633,-10.444117
1634,-13.264117
1635,-12.407905
1636,-10.613163
1637,-10.548279
1638,-11.964632
1639,-12.979435
1640,-11.622611
1641,-13.159607
1642,-15.796581
1643,-15.701165
1644,-15.197825
1645,-13.323047
1646,-15.213218
1647,-16.08258
1648,-16.558771
1649,-16.532328
