,slope
1509,1.7666069
1510,0.5365831
1511,1.363619
1512,3.53711
1513,3.4023983
1514,3.1956458
1515,2.9901445
1516,3.6105506
1517,3.4662354
1518,2.7580261
1519,1.0660142
1520,0.5892924
1521,0.5892924
1522,0.7126985
1523,0.8704688
1524,1.0054226
1525,0.9934663
1526,0.788623
1527,0.624887
1528,0.4329873
1529,0.3653721
1530,0.3430941
1531,0.2628891
1532,0.16089371
1533,0.2706249
1534,0.35609388
1535,0.71772146
1536,0.7032011
1537,0.72004443
1538,0.624887
1539,0.66493523
1540,0.41731519
1541,0.2041337
1542,0.061856482
1543,0.24069346
1544,0.5138113
1545,0.9217022
1546,0.9567361
1547,0.45461595
1548,1.0677128
1549,0.3788722
1550,1.1695317
1551,0.45461595
1552,1.0482744
1553,1.1884574
1554,1.979135
1555,1.6085186
1556,1.2496253
1557,0.9935835
1558,0.7451717
1559,0.67350495
1560,0.784556
1561,0.9682491
1562,0.5707437
1563,0.83215135
1564,0.8814044
1565,0.6701787
1566,0.69449013
1567,0.40826225
1568,0.73071444
1569,1.1239672
1570,0.8089731
1571,0.93038404
1572,0.7126985
1573,0.8629247
1574,0.7475328
1575,0.84556675
1576,0.97316927
1577,1.0660142
1578,0.82347256
1579,0.8770465
1580,0.9098667
1581,0.34725782
1582,0.2041337
1583,1.0079396
1584,1.0482744
1585,0.9840659
1586,1.187481
1587,1.1098394
1588,1.0832707
1589,0.9066885
1590,0.5084285
1591,0.2041337
1592,0.16089371
1593,0.63273895
1594,1.2693936
1595,1.5072486
1596,1.1239672
1597,0.9221025
1598,0.24069346
1599,0.34725782
1600,0.62490267
1601,0.9942332
1602,2.163986
1603,4.23185
1604,3.921769
1605,3.651351
1606,2.9296765
1607,1.1685934
1608,0.64100224
1609,1.2184994
1610,1.2024758
1611,2.1671233
1612,4.1064835
1613,2.6895163
1614,0.7241522
1615,1.6472766
1616,1.9338784
1617,2.9217002
1618,5.369616
1619,5.7696414
1620,4.256564
1621,1.0677128
1622,1.6091156
1623,1.9722348
1624,0.897945
1625,2.3380897
1626,1.5706805
1627,1.4155545
1628,3.0162675
1629,1.1809204
1630,1.4611913
1631,1.3206694
1632,3.4396358
1633,4.640514
1634,1.317635
1635,5.279341
1636,2.8942988
1637,1.2646959
1638,1.2114058
1639,1.3763179
1640,0.9678997
1641,0.7106886
1642,0.7557033
1643,0.5423876
1644,1.2815676
1645,2.0000052
1646,2.2373333
1647,2.171532
1648,0.55846447
1649,0.22100633
1650,5.545136
1651,0.25690624
1652,0.5843514
1653,1.5410761
1654,4.339361
1655,5.3712335
